topic,industry,company_name,name_source,ocr_status,ocr_text,template_id,template_title,template_url,image_url,is_pro,file_name,relative_path,collected_at
Literacy,Education & Literacy,Ajagruti,ocr,success,AJAGRUTI | PRIVATE TUITIONS,EAEv2bChruc,Black and Bright Yellow Modern Education Logo,https://www.canva.com/templates/EAEv2bChruc-black-and-bright-yellow-modern-education-logo/,https://template.canva.com/EAEv2bChruc/1/0/800w-WHUTJOPW5bc.jpg,false,0037_EAEv2bChruc.jpg,literacy/images/0037_EAEv2bChruc.jpg,2026-08-06T09:54:07.870Z
Literacy,Education & Literacy,Abacus,ocr,success,ABACUS | SENIRH,EAEv2cIDJ9o,Black and Brown Modern Education Logo,https://www.canva.com/templates/EAEv2cIDJ9o-black-and-brown-modern-education-logo/,https://template.canva.com/EAEv2cIDJ9o/1/0/800w-X0DcSZPjQWQ.jpg,false,0030_EAEv2cIDJ9o.jpg,literacy/images/0030_EAEv2cIDJ9o.jpg,2026-08-06T09:53:59.706Z
Literacy,Education & Literacy,Museum,ocr,success,ANTRIKSH | MUSEUM | SPACE FOR KIDS,EAEv2fhH2Ok,Black and Gold Modern Education Logo,https://www.canva.com/templates/EAEv2fhH2Ok-black-and-gold-modern-education-logo/,https://template.canva.com/EAEv2fhH2Ok/1/0/800w-dFLjNYAx0tI.jpg,false,0012_EAEv2fhH2Ok.jpg,literacy/images/0012_EAEv2fhH2Ok.jpg,2026-08-06T09:53:40.615Z
Literacy,Education & Literacy,daffodil,ocr,success,daffodil | PARE PRIMARY SCHOO,EAEv2YwWtGg,Black and Marigold Modern Education Logo,https://www.canva.com/templates/EAEv2YwWtGg-black-and-marigold-modern-education-logo/,https://template.canva.com/EAEv2YwWtGg/1/0/800w-aBgMrhtLCRY.jpg,false,0068_EAEv2YwWtGg.jpg,literacy/images/0068_EAEv2YwWtGg.jpg,2026-08-06T09:54:43.857Z
Literacy,Education & Literacy,Sew,ocr,success,SEW | TAILORING CLASSES,EAEv2d6X0AQ,Black and Pink Modern Education Logo,https://www.canva.com/templates/EAEv2d6X0AQ-black-and-pink-modern-education-logo/,https://template.canva.com/EAEv2d6X0AQ/1/0/800w-XiYvD8KCsRc.jpg,false,0064_EAEv2d6X0AQ.jpg,literacy/images/0064_EAEv2d6X0AQ.jpg,2026-08-06T09:54:43.214Z
Literacy,Education & Literacy,natkhat,ocr,success,natkhat | DANCE ACADEMY,EAEv2SSM-gs,Black and White Modern Education Logo,https://www.canva.com/templates/EAEv2SSM-gs-black-and-white-modern-education-logo/,https://template.canva.com/EAEv2SSM-gs/1/0/800w-LQlqj2lkiSU.jpg,false,0002_EAEv2SSM-gs.jpg,literacy/images/0002_EAEv2SSM-gs.jpg,2026-08-06T09:53:25.254Z
Literacy,Music & Entertainment,Music Classes,ocr,success,MUSIC CLASSES,EAEv2otaen8,Black and White Modern Education Logo,https://www.canva.com/templates/EAEv2otaen8-black-and-white-modern-education-logo/,https://template.canva.com/EAEv2otaen8/1/0/800w-SG3zkA3zxY4.jpg,false,0025_EAEv2otaen8.jpg,literacy/images/0025_EAEv2otaen8.jpg,2026-08-06T09:53:51.501Z
Literacy,Education & Literacy,Istory Want,ocr,success,TIHAAAAS | ISTORY WANT | KNOW THE HISTORY OF YOUR CITY,EAEv2bVzQyk,Black and White Modern Education Logo,https://www.canva.com/templates/EAEv2bVzQyk-black-and-white-modern-education-logo/,https://template.canva.com/EAEv2bVzQyk/1/0/800w-Ye7ZOqf3wpY.jpg,false,0041_EAEv2bVzQyk.jpg,literacy/images/0041_EAEv2bVzQyk.jpg,2026-08-06T09:54:08.563Z
Literacy,Education & Literacy,Book,ocr,success,BOOK | STORE,EAGsKXrl0sA,Black Gold Simple Book Store Logo,https://www.canva.com/templates/EAGsKXrl0sA-black-gold-simple-book-store-logo/,https://template.canva.com/EAGsKXrl0sA/1/0/800w-jAs9gmS0hCo.jpg,false,0001_EAGsKXrl0sA.jpg,literacy/images/0001_EAGsKXrl0sA.jpg,2026-08-06T09:53:24.973Z
Literacy,Education & Literacy,concept,ocr,success,concept | ENGLISH | TUTORIALS,EAEv2eA9wTg,Black Modern Education Logo,https://www.canva.com/templates/EAEv2eA9wTg-black-modern-education-logo/,https://template.canva.com/EAEv2eA9wTg/1/0/800w-7hB-B-sU24w.jpg,false,0021_EAEv2eA9wTg.jpg,literacy/images/0021_EAEv2eA9wTg.jpg,2026-08-06T09:53:50.941Z
